"feature","chi2","p","n_target","n_reference","direction"
"hochnäsig",-0.332277178579823,0.564321269459134,0,3,"Right-leaning"
"intolerante",-0.332277178579823,0.564321269459134,0,3,"Right-leaning"
"kulturell",-0.332277178579823,0.564321269459134,0,3,"Right-leaning"
"künstler",-0.332277178579823,0.564321269459134,0,3,"Right-leaning"
"linke",-0.332277178579823,0.564321269459134,0,3,"Right-leaning"
"materiell",-0.332277178579823,0.564321269459134,0,3,"Right-leaning"
"möchte",-0.332277178579823,0.564321269459134,0,3,"Right-leaning"
"möchten",-0.332277178579823,0.564321269459134,0,3,"Right-leaning"
"müssen",-0.332277178579823,0.564321269459134,0,3,"Right-leaning"
"naiv",-0.332277178579823,0.564321269459134,0,3,"Right-leaning"
"narzisstisch",-0.332277178579823,0.564321269459134,0,3,"Right-leaning"
"nehmen",-0.332277178579823,0.564321269459134,0,3,"Right-leaning"
"normale",-0.332277178579823,0.564321269459134,0,3,"Right-leaning"
"persönliche",-0.332277178579823,0.564321269459134,0,3,"Right-leaning"
"rand",-0.332277178579823,0.564321269459134,0,3,"Right-leaning"
"rücksicht",-0.332277178579823,0.564321269459134,0,3,"Right-leaning"
"schau",-0.332277178579823,0.564321269459134,0,3,"Right-leaning"
"seite",-0.332277178579823,0.564321269459134,0,3,"Right-leaning"
"stellen",-0.332277178579823,0.564321269459134,0,3,"Right-leaning"
"städter",-0.332277178579823,0.564321269459134,0,3,"Right-leaning"
"toleranz",-0.332277178579823,0.564321269459134,0,3,"Right-leaning"
"unhöflich",-0.332277178579823,0.564321269459134,0,3,"Right-leaning"
"unzuverlässig",-0.332277178579823,0.564321269459134,0,3,"Right-leaning"
"veränderungen",-0.332277178579823,0.564321269459134,0,3,"Right-leaning"
"denken",-0.335419472435493,0.56248519819874,3,11,"Right-leaning"
"gesellschaft",-0.373739381113819,0.540973007263914,1,6,"Right-leaning"
"interessant",-0.373739381113819,0.540973007263914,1,6,"Right-leaning"
"ungebildet",-0.373739381113819,0.540973007263914,1,6,"Right-leaning"
"dass",-0.455285931360672,0.499835379995201,2,9,"Right-leaning"
"extrem",-0.545195431976575,0.460287510745634,3,12,"Right-leaning"
"akzeptieren",-0.712906838387705,0.39848049773904,0,4,"Right-leaning"
"arbeit",-0.712906838387705,0.39848049773904,0,4,"Right-leaning"
"denkende",-0.712906838387705,0.39848049773904,0,4,"Right-leaning"
"gelten",-0.712906838387705,0.39848049773904,0,4,"Right-leaning"
"ideen",-0.712906838387705,0.39848049773904,0,4,"Right-leaning"
"jedoch",-0.712906838387705,0.39848049773904,0,4,"Right-leaning"
"kennen",-0.712906838387705,0.39848049773904,0,4,"Right-leaning"
"kommen",-0.712906838387705,0.39848049773904,0,4,"Right-leaning"
"könnten",-0.712906838387705,0.39848049773904,0,4,"Right-leaning"
"lassen",-0.712906838387705,0.39848049773904,0,4,"Right-leaning"
"lebt",-0.712906838387705,0.39848049773904,0,4,"Right-leaning"
"partygänger",-0.712906838387705,0.39848049773904,0,4,"Right-leaning"
