"feature","chi2","p","n_target","n_reference","direction"
"zielstrebig",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
"zählen",-0.315625006143471,0.57424879527066,0,3,"Right-leaning"
"denkend",-0.345557638497124,0.556638680264423,1,6,"Right-leaning"
"interessen",-0.345557638497124,0.556638680264423,1,6,"Right-leaning"
"konservativ",-0.345557638497124,0.556638680264423,1,6,"Right-leaning"
"unternehmer",-0.345557638497124,0.556638680264423,1,6,"Right-leaning"
"gebildet",-0.38769252536493,0.533514808845425,10,27,"Right-leaning"
"ausbildung",-0.415706403569042,0.519087277971646,2,9,"Right-leaning"
"jung",-0.415706403569042,0.519087277971646,2,9,"Right-leaning"
"bescheiden",-0.62654792884129,0.4286243908328,1,7,"Right-leaning"
"familiär",-0.62654792884129,0.4286243908328,1,7,"Right-leaning"
"wissen",-0.62654792884129,0.4286243908328,1,7,"Right-leaning"
"einkommen",-0.66392611152979,0.415177290503874,2,10,"Right-leaning"
"allgemeinwissen",-0.685566353770285,0.407676534706077,0,4,"Right-leaning"
"eigenen",-0.685566353770285,0.407676534706077,0,4,"Right-leaning"
"engagierte",-0.685566353770285,0.407676534706077,0,4,"Right-leaning"
"gegend",-0.685566353770285,0.407676534706077,0,4,"Right-leaning"
"geld",-0.685566353770285,0.407676534706077,0,4,"Right-leaning"
"hart",-0.685566353770285,0.407676534706077,0,4,"Right-leaning"
"höheren",-0.685566353770285,0.407676534706077,0,4,"Right-leaning"
"introvertiert",-0.685566353770285,0.407676534706077,0,4,"Right-leaning"
"kindern",-0.685566353770285,0.407676534706077,0,4,"Right-leaning"
"kollegen",-0.685566353770285,0.407676534706077,0,4,"Right-leaning"
"mitte-links",-0.685566353770285,0.407676534706077,0,4,"Right-leaning"
"sagen",-0.685566353770285,0.407676534706077,0,4,"Right-leaning"
"spontan",-0.685566353770285,0.407676534706077,0,4,"Right-leaning"
"umgänglich",-0.685566353770285,0.407676534706077,0,4,"Right-leaning"
"weiss",-0.685566353770285,0.407676534706077,0,4,"Right-leaning"
"wohl",-0.685566353770285,0.407676534706077,0,4,"Right-leaning"
"zufrieden",-0.685566353770285,0.407676534706077,0,4,"Right-leaning"
"zuverlässig",-0.685566353770285,0.407676534706077,0,4,"Right-leaning"
"ausgebildet",-0.949102086290303,0.329947958863754,1,8,"Right-leaning"
"personen",-0.957207799768937,0.327891374648653,9,28,"Right-leaning"
"beruf",-1.09432420399545,0.295515087215591,0,5,"Right-leaning"
