"feature","chi2","p","n_target","n_reference","direction"
"arbeite",-0.0117209220835782,0.91378690724263,1,2,"far right"
"arbeitnehmer",-0.0117209220835782,0.91378690724263,1,2,"far right"
"aufgestellte",-0.0117209220835782,0.91378690724263,1,2,"far right"
"bekannte",-0.0117209220835782,0.91378690724263,1,2,"far right"
"berufliche",-0.0117209220835782,0.91378690724263,1,2,"far right"
"echte",-0.0117209220835782,0.91378690724263,1,2,"far right"
"einzelgänger",-0.0117209220835782,0.91378690724263,1,2,"far right"
"erfolgsorientiert",-0.0117209220835782,0.91378690724263,1,2,"far right"
"erreichen",-0.0117209220835782,0.91378690724263,1,2,"far right"
"erzogen",-0.0117209220835782,0.91378690724263,1,2,"far right"
"familienmensch",-0.0117209220835782,0.91378690724263,1,2,"far right"
"finden",-0.0117209220835782,0.91378690724263,1,2,"far right"
"gegend",-0.0117209220835782,0.91378690724263,1,2,"far right"
"gehobener",-0.0117209220835782,0.91378690724263,1,2,"far right"
"gehöre",-0.0117209220835782,0.91378690724263,1,2,"far right"
"gesellige",-0.0117209220835782,0.91378690724263,1,2,"far right"
"gesundes",-0.0117209220835782,0.91378690724263,1,2,"far right"
"gewissen",-0.0117209220835782,0.91378690724263,1,2,"far right"
"gläubig",-0.0117209220835782,0.91378690724263,1,2,"far right"
"gott",-0.0117209220835782,0.91378690724263,1,2,"far right"
"grosse",-0.0117209220835782,0.91378690724263,1,2,"far right"
"hart",-0.0117209220835782,0.91378690724263,1,2,"far right"
"herz",-0.0117209220835782,0.91378690724263,1,2,"far right"
"introvertiert",-0.0117209220835782,0.91378690724263,1,2,"far right"
"jeglicher",-0.0117209220835782,0.91378690724263,1,2,"far right"
"kommt",-0.0117209220835782,0.91378690724263,1,2,"far right"
"kommunikative",-0.0117209220835782,0.91378690724263,1,2,"far right"
"liebevoll",-0.0117209220835782,0.91378690724263,1,2,"far right"
"macher",-0.0117209220835782,0.91378690724263,1,2,"far right"
"mainstream",-0.0117209220835782,0.91378690724263,1,2,"far right"
"mitglieder",-0.0117209220835782,0.91378690724263,1,2,"far right"
"mütter",-0.0117209220835782,0.91378690724263,1,2,"far right"
"nehmen",-0.0117209220835782,0.91378690724263,1,2,"far right"
"neuen",-0.0117209220835782,0.91378690724263,1,2,"far right"
"oft",-0.0117209220835782,0.91378690724263,1,2,"far right"
"ordnung",-0.0117209220835782,0.91378690724263,1,2,"far right"
"persönlichkeiten",-0.0117209220835782,0.91378690724263,1,2,"far right"
"politiker",-0.0117209220835782,0.91378690724263,1,2,"far right"
"realisten",-0.0117209220835782,0.91378690724263,1,2,"far right"
"religiös",-0.0117209220835782,0.91378690724263,1,2,"far right"
"respektieren",-0.0117209220835782,0.91378690724263,1,2,"far right"
"ruhe",-0.0117209220835782,0.91378690724263,1,2,"far right"
"sicheres",-0.0117209220835782,0.91378690724263,1,2,"far right"
"sicherheit",-0.0117209220835782,0.91378690724263,1,2,"far right"
"sparen",-0.0117209220835782,0.91378690724263,1,2,"far right"
"sprechen",-0.0117209220835782,0.91378690724263,1,2,"far right"
"strebsam",-0.0117209220835782,0.91378690724263,1,2,"far right"
"studiert",-0.0117209220835782,0.91378690724263,1,2,"far right"
"teilen",-0.0117209220835782,0.91378690724263,1,2,"far right"
"tierliebende",-0.0117209220835782,0.91378690724263,1,2,"far right"
"traditionen",-0.0117209220835782,0.91378690724263,1,2,"far right"
"treu",-0.0117209220835782,0.91378690724263,1,2,"far right"
"umgang",-0.0117209220835782,0.91378690724263,1,2,"far right"
"unseren",-0.0117209220835782,0.91378690724263,1,2,"far right"
"verhältnisse",-0.0117209220835782,0.91378690724263,1,2,"far right"
"versuchen",-0.0117209220835782,0.91378690724263,1,2,"far right"
"vieles",-0.0117209220835782,0.91378690724263,1,2,"far right"
"wurden",-0.0117209220835782,0.91378690724263,1,2,"far right"
"ziele",-0.0117209220835782,0.91378690724263,1,2,"far right"
"zurückgezogen",-0.0117209220835782,0.91378690724263,1,2,"far right"
"auto",-0.0156313068264335,0.900503580549496,2,2,"new left"
"begabt",-0.0156313068264335,0.900503580549496,2,2,"new left"
"berufe",-0.0156313068264335,0.900503580549496,2,2,"new left"
"bezahlt",-0.0156313068264335,0.900503580549496,2,2,"new left"
"bilden",-0.0156313068264335,0.900503580549496,2,2,"new left"
"brauchen",-0.0156313068264335,0.900503580549496,2,2,"new left"
"dorf",-0.0156313068264335,0.900503580549496,2,2,"new left"
"eltern",-0.0156313068264335,0.900503580549496,2,2,"new left"
"entscheiden",-0.0156313068264335,0.900503580549496,2,2,"new left"
"ernährung",-0.0156313068264335,0.900503580549496,2,2,"new left"
"freiheitsliebend",-0.0156313068264335,0.900503580549496,2,2,"new left"
"gehen",-0.0156313068264335,0.900503580549496,2,2,"new left"
"gutem",-0.0156313068264335,0.900503580549496,2,2,"new left"
"gutes",-0.0156313068264335,0.900503580549496,2,2,"new left"
"hause",-0.0156313068264335,0.900503580549496,2,2,"new left"
"job",-0.0156313068264335,0.900503580549496,2,2,"new left"
"kontakt",-0.0156313068264335,0.900503580549496,2,2,"new left"
"lange",-0.0156313068264335,0.900503580549496,2,2,"new left"
"lebensstil",-0.0156313068264335,0.900503580549496,2,2,"new left"
"mehrheitlich",-0.0156313068264335,0.900503580549496,2,2,"new left"
"mitfühlend",-0.0156313068264335,0.900503580549496,2,2,"new left"
"nachgehen",-0.0156313068264335,0.900503580549496,2,2,"new left"
"positive",-0.0156313068264335,0.900503580549496,2,2,"new left"
"probleme",-0.0156313068264335,0.900503580549496,2,2,"new left"
"religionen",-0.0156313068264335,0.900503580549496,2,2,"new left"
"selben",-0.0156313068264335,0.900503580549496,2,2,"new left"
"selber",-0.0156313068264335,0.900503580549496,2,2,"new left"
"stark",-0.0156313068264335,0.900503580549496,2,2,"new left"
"tier",-0.0156313068264335,0.900503580549496,2,2,"new left"
"traditionelle",-0.0156313068264335,0.900503580549496,2,2,"new left"
"trotzdem",-0.0156313068264335,0.900503580549496,2,2,"new left"
"ähnlichen",-0.0156313068264335,0.900503580549496,2,2,"new left"
"mittelschicht",-0.0174894868338043,0.894788275553837,14,13,"new left"
"bedacht",-0.0195433987881244,0.888819825320627,2,3,"far right"
"berufstätig",-0.0195433987881244,0.888819825320627,2,3,"far right"
"besitzen",-0.0195433987881244,0.888819825320627,2,3,"far right"
"frauen",-0.0195433987881244,0.888819825320627,2,3,"far right"
"gemeinschaft",-0.0195433987881244,0.888819825320627,2,3,"far right"
"gesundem",-0.0195433987881244,0.888819825320627,2,3,"far right"
"gesundheit",-0.0195433987881244,0.888819825320627,2,3,"far right"
"höhere",-0.0195433987881244,0.888819825320627,2,3,"far right"
"kenne",-0.0195433987881244,0.888819825320627,2,3,"far right"
"natürlich",-0.0195433987881244,0.888819825320627,2,3,"far right"
"staat",-0.0195433987881244,0.888819825320627,2,3,"far right"
"wertvorstellungen",-0.0195433987881244,0.888819825320627,2,3,"far right"
"wohl",-0.0195433987881244,0.888819825320627,2,3,"far right"
"wohnen",-0.0195433987881244,0.888819825320627,2,3,"far right"
"z.b",-0.0195433987881244,0.888819825320627,2,3,"far right"
"gebildet",-0.0227751234477516,0.88004332644307,15,14,"new left"
"friedlich",-0.0234571990869165,0.878274125602087,3,3,"new left"
"geht",-0.0234571990869165,0.878274125602087,3,3,"new left"
"lassen",-0.0234571990869165,0.878274125602087,3,3,"new left"
"lohn",-0.0234571990869165,0.878274125602087,3,3,"new left"
"migrationshintergrund",-0.0234571990869165,0.878274125602087,3,3,"new left"
"tierliebend",-0.0234571990869165,0.878274125602087,3,3,"new left"
"umgänglich",-0.0234571990869165,0.878274125602087,3,3,"new left"
"unkomplizierte",-0.0234571990869165,0.878274125602087,3,3,"new left"
"viele",-0.0234571990869165,0.878274125602087,3,3,"new left"
"fair",-0.0273727088420523,0.868592165006824,3,4,"far right"
"hilfsbereite",-0.0273727088420523,0.868592165006824,3,4,"far right"
"lebend",-0.0273727088420523,0.868592165006824,3,4,"far right"
"lieben",-0.0273727088420523,0.868592165006824,3,4,"far right"
"mensch",-0.0273727088420523,0.868592165006824,3,4,"far right"
"neutral",-0.0273727088420523,0.868592165006824,3,4,"far right"
"niveau",-0.0273727088420523,0.868592165006824,3,4,"far right"
"denkend",-0.0312899291737521,0.859595110941903,4,4,"new left"
"familiär",-0.0312899291737521,0.859595110941903,4,4,"new left"
"mal",-0.0312899291737521,0.859595110941903,4,4,"new left"
"vielseitig",-0.0352088612032153,0.851158676318305,4,5,"far right"
"alter",-0.0391295060526215,0.843192317820726,5,5,"new left"
"mitmenschen",-0.0391295060526215,0.843192317820726,5,5,"new left"
"gleiche",-0.0469759387048875,0.828411492794374,6,6,"new left"
"naturverbunden",-0.0626894073336704,0.802294632996102,8,8,"new left"
"leute",-0.182460992157018,0.669266777778971,97,91,"new left"
